location,date,vaccine,total_vaccinations
Finland,2021-10-08,Oxford/AstraZeneca,553575
Finland,2021-10-08,Pfizer/BioNTech,6317666
Finland,2021-10-15,Johnson&Johnson,0
Finland,2021-10-15,Moderna,999439
Finland,2021-10-15,Oxford/AstraZeneca,553600
Finland,2021-10-15,Pfizer/BioNTech,6434570
Finland,2021-10-22,Johnson&Johnson,0
Finland,2021-10-22,Moderna,1014794
Finland,2021-10-22,Oxford/AstraZeneca,553632
Finland,2021-10-22,Pfizer/BioNTech,6531381
Finland,2021-10-29,Johnson&Johnson,0
Finland,2021-10-29,Moderna,1032210
Finland,2021-10-29,Oxford/AstraZeneca,553642
Finland,2021-10-29,Pfizer/BioNTech,6631106
Finland,2021-11-05,Johnson&Johnson,0
Finland,2021-11-05,Moderna,1044638
Finland,2021-11-05,Oxford/AstraZeneca,553664
Finland,2021-11-05,Pfizer/BioNTech,6707855
Finland,2021-11-12,Johnson&Johnson,0
Finland,2021-11-12,Moderna,1055666
Finland,2021-11-12,Oxford/AstraZeneca,553675
Finland,2021-11-12,Pfizer/BioNTech,6784588
Finland,2021-11-19,Johnson&Johnson,0
Finland,2021-11-19,Moderna,1066036
Finland,2021-11-19,Oxford/AstraZeneca,553711
Finland,2021-11-19,Pfizer/BioNTech,6872988
Finland,2021-11-26,Johnson&Johnson,0
Finland,2021-11-26,Moderna,1076356
Finland,2021-11-26,Oxford/AstraZeneca,553770
Finland,2021-11-26,Pfizer/BioNTech,6983593
Finland,2021-12-03,Johnson&Johnson,0
Finland,2021-12-03,Moderna,1090431
Finland,2021-12-03,Oxford/AstraZeneca,553776
Finland,2021-12-03,Pfizer/BioNTech,7128183
Finland,2021-12-10,Johnson&Johnson,0
Finland,2021-12-10,Moderna,1109794
Finland,2021-12-10,Oxford/AstraZeneca,553776
Finland,2021-12-10,Pfizer/BioNTech,7304853
Finland,2021-12-17,Johnson&Johnson,0
Finland,2021-12-17,Moderna,1151355
Finland,2021-12-17,Oxford/AstraZeneca,553776
Finland,2021-12-17,Pfizer/BioNTech,7564678
Finland,2021-12-24,Johnson&Johnson,0
Finland,2021-12-24,Moderna,1197816
Finland,2021-12-24,Oxford/AstraZeneca,553778
Finland,2021-12-24,Pfizer/BioNTech,7742905
Finland,2021-12-31,Johnson&Johnson,0
Finland,2021-12-31,Moderna,1296473
Finland,2021-12-31,Oxford/AstraZeneca,553780
Finland,2021-12-31,Pfizer/BioNTech,7938850
Finland,2022-01-07,Johnson&Johnson,0
Finland,2022-01-07,Moderna,1427728
Finland,2022-01-07,Oxford/AstraZeneca,553781
Finland,2022-01-07,Pfizer/BioNTech,8208196
Finland,2022-01-14,Johnson&Johnson,0
Finland,2022-01-14,Moderna,1579907
Finland,2022-01-14,Oxford/AstraZeneca,553782
Finland,2022-01-14,Pfizer/BioNTech,8522611
Finland,2022-01-21,Johnson&Johnson,0
Finland,2022-01-21,Moderna,1722911
Finland,2022-01-21,Oxford/AstraZeneca,553783
Finland,2022-01-21,Pfizer/BioNTech,8755417
Finland,2022-01-28,Johnson&Johnson,0
Finland,2022-01-28,Moderna,1810660
Finland,2022-01-28,Oxford/AstraZeneca,553783
Finland,2022-01-28,Pfizer/BioNTech,8909176
Finland,2022-02-04,Johnson&Johnson,0
Finland,2022-02-04,Moderna,1847191
Finland,2022-02-04,Oxford/AstraZeneca,553785
Finland,2022-02-04,Pfizer/BioNTech,9006019
Finland,2022-02-11,Johnson&Johnson,0
Finland,2022-02-11,Moderna,1863914
Finland,2022-02-11,Oxford/AstraZeneca,553785
Finland,2022-02-11,Pfizer/BioNTech,9066307
Finland,2022-02-18,Johnson&Johnson,0
Finland,2022-02-18,Moderna,1872909
Finland,2022-02-18,Oxford/AstraZeneca,553785
Finland,2022-02-18,Pfizer/BioNTech,9111246
Finland,2022-02-25,Johnson&Johnson,0
Finland,2022-02-25,Moderna,1878481
Finland,2022-02-25,Oxford/AstraZeneca,553785
Finland,2022-02-25,Pfizer/BioNTech,9150720
Finland,2022-03-04,Johnson&Johnson,0
Finland,2022-03-04,Moderna,1881659
Finland,2022-03-04,Oxford/AstraZeneca,553785
Finland,2022-03-04,Pfizer/BioNTech,9183941
Finland,2022-03-11,Johnson&Johnson,0
Finland,2022-03-11,Moderna,1884270
Finland,2022-03-11,Oxford/AstraZeneca,553785
Finland,2022-03-11,Pfizer/BioNTech,9210805
Finland,2022-03-18,Johnson&Johnson,0
Finland,2022-03-18,Moderna,1886477
Finland,2022-03-18,Oxford/AstraZeneca,553785
Finland,2022-03-18,Pfizer/BioNTech,9235011
Finland,2022-03-25,Johnson&Johnson,0
Finland,2022-03-25,Moderna,1886487
Finland,2022-03-25,Oxford/AstraZeneca,553785
Finland,2022-03-25,Pfizer/BioNTech,9235420
France,2020-12-27,Pfizer/BioNTech,592
France,2020-12-28,Pfizer/BioNTech,1240
France,2020-12-29,Pfizer/BioNTech,1607
France,2020-12-30,Pfizer/BioNTech,2040
France,2020-12-31,Pfizer/BioNTech,2397
France,2021-01-01,Pfizer/BioNTech,3501
France,2021-01-02,Pfizer/BioNTech,3850
France,2021-01-03,Pfizer/BioNTech,4243
France,2021-01-04,Pfizer/BioNTech,6316
France,2021-01-05,Pfizer/BioNTech,13084
France,2021-01-06,Pfizer/BioNTech,25354
France,2021-01-07,Pfizer/BioNTech,54783
France,2021-01-08,Pfizer/BioNTech,91891
France,2021-01-09,Pfizer/BioNTech,103098
France,2021-01-10,Pfizer/BioNTech,109085
France,2021-01-11,Pfizer/BioNTech,149002
France,2021-01-12,Pfizer/BioNTech,211098
France,2021-01-13,Pfizer/BioNTech,276149
France,2021-01-14,Moderna,1702
France,2021-01-14,Pfizer/BioNTech,357588
France,2021-01-15,Moderna,2091
France,2021-01-15,Pfizer/BioNTech,426171
France,2021-01-16,Moderna,2403
France,2021-01-16,Pfizer/BioNTech,446135
France,2021-01-17,Moderna,2483
France,2021-01-17,Pfizer/BioNTech,457075
France,2021-01-18,Moderna,5555
France,2021-01-18,Pfizer/BioNTech,539976
France,2021-01-19,Moderna,10229
France,2021-01-19,Pfizer/BioNTech,665994
France,2021-01-20,Moderna,15364
France,2021-01-20,Pfizer/BioNTech,798517
France,2021-01-21,Moderna,20700
France,2021-01-21,Pfizer/BioNTech,951674
France,2021-01-22,Moderna,25815
France,2021-01-22,Pfizer/BioNTech,1067746
France,2021-01-23,Moderna,27678
France,2021-01-23,Pfizer/BioNTech,1104391
France,2021-01-24,Moderna,27839
France,2021-01-24,Pfizer/BioNTech,1114014
France,2021-01-25,Moderna,31650
France,2021-01-25,Pfizer/BioNTech,1189630
France,2021-01-26,Moderna,35564
France,2021-01-26,Pfizer/BioNTech,1289182
France,2021-01-27,Moderna,39159
France,2021-01-27,Pfizer/BioNTech,1398455
France,2021-01-28,Moderna,42900
France,2021-01-28,Pfizer/BioNTech,1533384
France,2021-01-29,Moderna,46188
France,2021-01-29,Pfizer/BioNTech,1639567
France,2021-01-30,Moderna,47318
France,2021-01-30,Pfizer/BioNTech,1671758
France,2021-01-31,Moderna,47364
France,2021-01-31,Pfizer/BioNTech,1678629
France,2021-02-01,Moderna,50765
France,2021-02-01,Pfizer/BioNTech,1749432
France,2021-02-02,Moderna,55258
France,2021-02-02,Pfizer/BioNTech,1851796
France,2021-02-03,Moderna,60477
France,2021-02-03,Pfizer/BioNTech,1955870
France,2021-02-04,Moderna,65408
France,2021-02-04,Pfizer/BioNTech,2083079
France,2021-02-05,Moderna,70229
France,2021-02-05,Pfizer/BioNTech,2191843
France,2021-02-06,Moderna,72275
France,2021-02-06,Oxford/AstraZeneca,1705
France,2021-02-06,Pfizer/BioNTech,2221690
France,2021-02-07,Moderna,72376
France,2021-02-07,Oxford/AstraZeneca,3126
France,2021-02-07,Pfizer/BioNTech,2230387
France,2021-02-08,Moderna,79941
France,2021-02-08,Oxford/AstraZeneca,5905
France,2021-02-08,Pfizer/BioNTech,2312922
France,2021-02-09,Moderna,88384
France,2021-02-09,Oxford/AstraZeneca,12685
France,2021-02-09,Pfizer/BioNTech,2436136
France,2021-02-10,Moderna,97776
France,2021-02-10,Oxford/AstraZeneca,22286
France,2021-02-10,Pfizer/BioNTech,2564847
France,2021-02-11,Moderna,108123
France,2021-02-11,Oxford/AstraZeneca,35892
France,2021-02-11,Pfizer/BioNTech,2727193
France,2021-02-12,Moderna,118414
France,2021-02-12,Oxford/AstraZeneca,49285
France,2021-02-12,Pfizer/BioNTech,2857096
France,2021-02-13,Moderna,121756
France,2021-02-13,Oxford/AstraZeneca,53063
France,2021-02-13,Pfizer/BioNTech,2891828
France,2021-02-14,Moderna,122107
France,2021-02-14,Oxford/AstraZeneca,54035
France,2021-02-14,Pfizer/BioNTech,2902806
France,2021-02-15,Moderna,128634
France,2021-02-15,Oxford/AstraZeneca,64510
France,2021-02-15,Pfizer/BioNTech,3000431
France,2021-02-16,Moderna,137611
France,2021-02-16,Oxford/AstraZeneca,77051
France,2021-02-16,Pfizer/BioNTech,3129857
France,2021-02-17,Moderna,146267
France,2021-02-17,Oxford/AstraZeneca,88197
France,2021-02-17,Pfizer/BioNTech,3263604
France,2021-02-18,Moderna,156763
France,2021-02-18,Oxford/AstraZeneca,103130
France,2021-02-18,Pfizer/BioNTech,3426481
France,2021-02-19,Moderna,166418
France,2021-02-19,Oxford/AstraZeneca,117488
France,2021-02-19,Pfizer/BioNTech,3558207
France,2021-02-20,Moderna,169790
France,2021-02-20,Oxford/AstraZeneca,120817
France,2021-02-20,Pfizer/BioNTech,3598509
France,2021-02-21,Moderna,170115
France,2021-02-21,Oxford/AstraZeneca,121434
France,2021-02-21,Pfizer/BioNTech,3607256
France,2021-02-22,Moderna,177447
France,2021-02-22,Oxford/AstraZeneca,130593
France,2021-02-22,Pfizer/BioNTech,3701372
France,2021-02-23,Moderna,186087
France,2021-02-23,Oxford/AstraZeneca,141987
France,2021-02-23,Pfizer/BioNTech,3819143
France,2021-02-24,Moderna,194554
France,2021-02-24,Oxford/AstraZeneca,156284
France,2021-02-24,Pfizer/BioNTech,3937395
France,2021-02-25,Moderna,203472
France,2021-02-25,Oxford/AstraZeneca,201210
France,2021-02-25,Pfizer/BioNTech,4075357
France,2021-02-26,Moderna,210958
France,2021-02-26,Oxford/AstraZeneca,263090
France,2021-02-26,Pfizer/BioNTech,4190334
France,2021-02-27,Moderna,213625
France,2021-02-27,Oxford/AstraZeneca,297895
France,2021-02-27,Pfizer/BioNTech,4226939
France,2021-02-28,Moderna,213833
France,2021-02-28,Oxford/AstraZeneca,300358
France,2021-02-28,Pfizer/BioNTech,4234879
France,2021-03-01,Moderna,222761
France,2021-03-01,Oxford/AstraZeneca,320870
France,2021-03-01,Pfizer/BioNTech,4324050
France,2021-03-02,Moderna,234005
France,2021-03-02,Oxford/AstraZeneca,359746
France,2021-03-02,Pfizer/BioNTech,4441455
France,2021-03-03,Moderna,245426
France,2021-03-03,Oxford/AstraZeneca,408487
France,2021-03-03,Pfizer/BioNTech,4563143
France,2021-03-04,Moderna,257787
France,2021-03-04,Oxford/AstraZeneca,490717
France,2021-03-04,Pfizer/BioNTech,4701072
France,2021-03-05,Moderna,269873
France,2021-03-05,Oxford/AstraZeneca,608874
France,2021-03-05,Pfizer/BioNTech,4834910
France,2021-03-06,Moderna,276339
France,2021-03-06,Oxford/AstraZeneca,729630
France,2021-03-06,Pfizer/BioNTech,4933387
France,2021-03-07,Moderna,278741
France,2021-03-07,Oxford/AstraZeneca,784829
France,2021-03-07,Pfizer/BioNTech,5002440
France,2021-03-08,Moderna,291216
France,2021-03-08,Oxford/AstraZeneca,827656
France,2021-03-08,Pfizer/BioNTech,5104951
France,2021-03-09,Moderna,307138
France,2021-03-09,Oxford/AstraZeneca,906665
France,2021-03-09,Pfizer/BioNTech,5239088
France,2021-03-10,Moderna,323333
France,2021-03-10,Oxford/AstraZeneca,987667
France,2021-03-10,Pfizer/BioNTech,5377944
France,2021-03-11,Moderna,341889
France,2021-03-11,Oxford/AstraZeneca,1116123
France,2021-03-11,Pfizer/BioNTech,5536715
France,2021-03-12,Moderna,358035
France,2021-03-12,Oxford/AstraZeneca,1298909
France,2021-03-12,Pfizer/BioNTech,5685971
France,2021-03-13,Moderna,370597
France,2021-03-13,Oxford/AstraZeneca,1431103
France,2021-03-13,Pfizer/BioNTech,5787846
France,2021-03-14,Moderna,375837
France,2021-03-14,Oxford/AstraZeneca,1445161
France,2021-03-14,Pfizer/BioNTech,5835292
France,2021-03-15,Moderna,390235
France,2021-03-15,Oxford/AstraZeneca,1497416
France,2021-03-15,Pfizer/BioNTech,5959780
France,2021-03-16,Moderna,411627
France,2021-03-16,Oxford/AstraZeneca,1498639
France,2021-03-16,Pfizer/BioNTech,6118177
France,2021-03-17,Moderna,435800
France,2021-03-17,Oxford/AstraZeneca,1499592
France,2021-03-17,Pfizer/BioNTech,6282192
France,2021-03-18,Moderna,464068
France,2021-03-18,Oxford/AstraZeneca,1501163
France,2021-03-18,Pfizer/BioNTech,6464697
France,2021-03-19,Moderna,491890
France,2021-03-19,Oxford/AstraZeneca,1571645
France,2021-03-19,Pfizer/BioNTech,6633721
France,2021-03-20,Moderna,518868
France,2021-03-20,Oxford/AstraZeneca,1636910
France,2021-03-20,Pfizer/BioNTech,6719857
France,2021-03-21,Moderna,536684
France,2021-03-21,Oxford/AstraZeneca,1642668
France,2021-03-21,Pfizer/BioNTech,6748796
France,2021-03-22,Moderna,557542
France,2021-03-22,Oxford/AstraZeneca,1680196
France,2021-03-22,Pfizer/BioNTech,6894566
France,2021-03-23,Moderna,584416
France,2021-03-23,Oxford/AstraZeneca,1764900
France,2021-03-23,Pfizer/BioNTech,7075666
France,2021-03-24,Moderna,613352
France,2021-03-24,Oxford/AstraZeneca,1855916
France,2021-03-24,Pfizer/BioNTech,7256365
France,2021-03-25,Moderna,645127
France,2021-03-25,Oxford/AstraZeneca,2006072
France,2021-03-25,Pfizer/BioNTech,7460857
France,2021-03-26,Moderna,676363
France,2021-03-26,Oxford/AstraZeneca,2171628
France,2021-03-26,Pfizer/BioNTech,7664646
France,2021-03-27,Moderna,693590
France,2021-03-27,Oxford/AstraZeneca,2240174
France,2021-03-27,Pfizer/BioNTech,7790742
France,2021-03-28,Moderna,704249
France,2021-03-28,Oxford/AstraZeneca,2246661
France,2021-03-28,Pfizer/BioNTech,7836701
France,2021-03-29,Moderna,727512
France,2021-03-29,Oxford/AstraZeneca,2300878
France,2021-03-29,Pfizer/BioNTech,8016370
France,2021-03-30,Moderna,758089
France,2021-03-30,Oxford/AstraZeneca,2394127
France,2021-03-30,Pfizer/BioNTech,8247469
France,2021-03-31,Moderna,792580
France,2021-03-31,Oxford/AstraZeneca,2457728
France,2021-03-31,Pfizer/BioNTech,8485195
France,2021-04-01,Moderna,835609
France,2021-04-01,Oxford/AstraZeneca,2543946
France,2021-04-01,Pfizer/BioNTech,8759134
France,2021-04-02,Moderna,873247
France,2021-04-02,Oxford/AstraZeneca,2630974
France,2021-04-02,Pfizer/BioNTech,9007816
France,2021-04-03,Moderna,893799
France,2021-04-03,Oxford/AstraZeneca,2666952
France,2021-04-03,Pfizer/BioNTech,9154116
France,2021-04-04,Moderna,904032
France,2021-04-04,Oxford/AstraZeneca,2670535
France,2021-04-04,Pfizer/BioNTech,9205280
France,2021-04-05,Moderna,917280
France,2021-04-05,Oxford/AstraZeneca,2675040
France,2021-04-05,Pfizer/BioNTech,9261795
France,2021-04-06,Moderna,951348
France,2021-04-06,Oxford/AstraZeneca,2704854
France,2021-04-06,Pfizer/BioNTech,9522912
France,2021-04-07,Moderna,989441
France,2021-04-07,Oxford/AstraZeneca,2737253
France,2021-04-07,Pfizer/BioNTech,9827898
France,2021-04-08,Moderna,1035116
France,2021-04-08,Oxford/AstraZeneca,2816291
France,2021-04-08,Pfizer/BioNTech,10162164
France,2021-04-09,Moderna,1077556
France,2021-04-09,Oxford/AstraZeneca,2978445
France,2021-04-09,Pfizer/BioNTech,10484051
France,2021-04-10,Moderna,1106208
France,2021-04-10,Oxford/AstraZeneca,3054526
France,2021-04-10,Pfizer/BioNTech,10674551
France,2021-04-11,Moderna,1118409
France,2021-04-11,Oxford/AstraZeneca,3061875
France,2021-04-11,Pfizer/BioNTech,10745605
France,2021-04-12,Moderna,1146748
France,2021-04-12,Oxford/AstraZeneca,3113539
France,2021-04-12,Pfizer/BioNTech,11017638
France,2021-04-13,Moderna,1182573
France,2021-04-13,Oxford/AstraZeneca,3200067
France,2021-04-13,Pfizer/BioNTech,11349468
France,2021-04-14,Moderna,1216903
France,2021-04-14,Oxford/AstraZeneca,3268236
France,2021-04-14,Pfizer/BioNTech,11680825
France,2021-04-15,Moderna,1259862
France,2021-04-15,Oxford/AstraZeneca,3361820
France,2021-04-15,Pfizer/BioNTech,12029295
France,2021-04-16,Moderna,1300657
France,2021-04-16,Oxford/AstraZeneca,3474899
France,2021-04-16,Pfizer/BioNTech,12360574
France,2021-04-17,Moderna,1336353
France,2021-04-17,Oxford/AstraZeneca,3528529
France,2021-04-17,Pfizer/BioNTech,12550117
France,2021-04-18,Moderna,1356654
France,2021-04-18,Oxford/AstraZeneca,3538302
France,2021-04-18,Pfizer/BioNTech,12607072
France,2021-04-19,Moderna,1389744
France,2021-04-19,Oxford/AstraZeneca,3563634
France,2021-04-19,Pfizer/BioNTech,12892832
France,2021-04-20,Moderna,1430639
France,2021-04-20,Oxford/AstraZeneca,3609691
France,2021-04-20,Pfizer/BioNTech,13231238
France,2021-04-21,Moderna,1472649
France,2021-04-21,Oxford/AstraZeneca,3649104
France,2021-04-21,Pfizer/BioNTech,13572457
France,2021-04-22,Moderna,1521331
France,2021-04-22,Oxford/AstraZeneca,3704576
France,2021-04-22,Pfizer/BioNTech,13944632
France,2021-04-23,Johnson&Johnson,4099
France,2021-04-23,Moderna,1571247
France,2021-04-23,Oxford/AstraZeneca,3776060
France,2021-04-23,Pfizer/BioNTech,14300946
France,2021-04-24,Johnson&Johnson,5668
France,2021-04-24,Moderna,1611729
France,2021-04-24,Oxford/AstraZeneca,3814271
France,2021-04-24,Pfizer/BioNTech,14522818
France,2021-04-25,Johnson&Johnson,5792
France,2021-04-25,Moderna,1629918
France,2021-04-25,Oxford/AstraZeneca,3820627
France,2021-04-25,Pfizer/BioNTech,14606492
France,2021-04-26,Johnson&Johnson,8661
France,2021-04-26,Moderna,1664288
France,2021-04-26,Oxford/AstraZeneca,3841055
France,2021-04-26,Pfizer/BioNTech,14926168
France,2021-04-27,Johnson&Johnson,18183
France,2021-04-27,Moderna,1707841
France,2021-04-27,Oxford/AstraZeneca,3876769
France,2021-04-27,Pfizer/BioNTech,15310069
France,2021-04-28,Johnson&Johnson,28091
France,2021-04-28,Moderna,1756457
France,2021-04-28,Oxford/AstraZeneca,3907648
France,2021-04-28,Pfizer/BioNTech,15704515
France,2021-04-29,Johnson&Johnson,44087
France,2021-04-29,Moderna,1812110
France,2021-04-29,Oxford/AstraZeneca,3958964
France,2021-04-29,Pfizer/BioNTech,16135825
France,2021-04-30,Johnson&Johnson,63320
France,2021-04-30,Moderna,1865441
France,2021-04-30,Oxford/AstraZeneca,4023326
France,2021-04-30,Pfizer/BioNTech,16556755
France,2021-05-01,Johnson&Johnson,65315
France,2021-05-01,Moderna,1890292
France,2021-05-01,Oxford/AstraZeneca,4034797
France,2021-05-01,Pfizer/BioNTech,16738662
France,2021-05-02,Johnson&Johnson,65796
France,2021-05-02,Moderna,1906102
France,2021-05-02,Oxford/AstraZeneca,4038358
France,2021-05-02,Pfizer/BioNTech,16848308
France,2021-05-03,Johnson&Johnson,70852
France,2021-05-03,Moderna,1945444
France,2021-05-03,Oxford/AstraZeneca,4055292
France,2021-05-03,Pfizer/BioNTech,17245944
France,2021-05-04,Johnson&Johnson,79256
France,2021-05-04,Moderna,1992784
France,2021-05-04,Oxford/AstraZeneca,4086793
France,2021-05-04,Pfizer/BioNTech,17699630
France,2021-05-05,Johnson&Johnson,85442
France,2021-05-05,Moderna,2040565
France,2021-05-05,Oxford/AstraZeneca,4116106
France,2021-05-05,Pfizer/BioNTech,18169033
France,2021-05-06,Johnson&Johnson,96832
France,2021-05-06,Moderna,2099457
France,2021-05-06,Oxford/AstraZeneca,4171585
France,2021-05-06,Pfizer/BioNTech,18663219
France,2021-05-07,Johnson&Johnson,115957
France,2021-05-07,Moderna,2158081
France,2021-05-07,Oxford/AstraZeneca,4244145
France,2021-05-07,Pfizer/BioNTech,19143819
France,2021-05-08,Johnson&Johnson,118338
France,2021-05-08,Moderna,2189130
France,2021-05-08,Oxford/AstraZeneca,4259755
France,2021-05-08,Pfizer/BioNTech,19384013
France,2021-05-09,Johnson&Johnson,119026
France,2021-05-09,Moderna,2210179
France,2021-05-09,Oxford/AstraZeneca,4264196
France,2021-05-09,Pfizer/BioNTech,19534381
France,2021-05-10,Johnson&Johnson,126266
France,2021-05-10,Moderna,2265344
France,2021-05-10,Oxford/AstraZeneca,4291721
France,2021-05-10,Pfizer/BioNTech,19987505
France,2021-05-11,Johnson&Johnson,140588
France,2021-05-11,Moderna,2330088
France,2021-05-11,Oxford/AstraZeneca,4344511
France,2021-05-11,Pfizer/BioNTech,20518793
France,2021-05-12,Johnson&Johnson,150760
France,2021-05-12,Moderna,2400138
France,2021-05-12,Oxford/AstraZeneca,4389200
France,2021-05-12,Pfizer/BioNTech,21062341
France,2021-05-13,Johnson&Johnson,152341
France,2021-05-13,Moderna,2457223
France,2021-05-13,Oxford/AstraZeneca,4394955
France,2021-05-13,Pfizer/BioNTech,21393764
France,2021-05-14,Johnson&Johnson,160099
France,2021-05-14,Moderna,2531613
France,2021-05-14,Oxford/AstraZeneca,4435164
France,2021-05-14,Pfizer/BioNTech,21893749
France,2021-05-15,Johnson&Johnson,163819
France,2021-05-15,Moderna,2604709
France,2021-05-15,Oxford/AstraZeneca,4463109
France,2021-05-15,Pfizer/BioNTech,22258006
France,2021-05-16,Johnson&Johnson,164238
France,2021-05-16,Moderna,2650862
France,2021-05-16,Oxford/AstraZeneca,4466755
France,2021-05-16,Pfizer/BioNTech,22431408
France,2021-05-17,Johnson&Johnson,168717
France,2021-05-17,Moderna,2708274
France,2021-05-17,Oxford/AstraZeneca,4494604
France,2021-05-17,Pfizer/BioNTech,22868136
France,2021-05-18,Johnson&Johnson,177468
France,2021-05-18,Moderna,2775330
France,2021-05-18,Oxford/AstraZeneca,4537622
France,2021-05-18,Pfizer/BioNTech,23364051
France,2021-05-19,Johnson&Johnson,183161
France,2021-05-19,Moderna,2843367
France,2021-05-19,Oxford/AstraZeneca,4578689
France,2021-05-19,Pfizer/BioNTech,23864036
France,2021-05-20,Johnson&Johnson,192644
France,2021-05-20,Moderna,2917924
France,2021-05-20,Oxford/AstraZeneca,4644646
France,2021-05-20,Pfizer/BioNTech,24383835
France,2021-05-21,Johnson&Johnson,205453
France,2021-05-21,Moderna,2994084
France,2021-05-21,Oxford/AstraZeneca,4722862
France,2021-05-21,Pfizer/BioNTech,24882494
France,2021-05-22,Johnson&Johnson,210519
France,2021-05-22,Moderna,3060126
France,2021-05-22,Oxford/AstraZeneca,4761077
France,2021-05-22,Pfizer/BioNTech,25200694
France,2021-05-23,Johnson&Johnson,211017
France,2021-05-23,Moderna,3098245
France,2021-05-23,Oxford/AstraZeneca,4764388
France,2021-05-23,Pfizer/BioNTech,25335044
France,2021-05-24,Johnson&Johnson,212073
France,2021-05-24,Moderna,3117541
France,2021-05-24,Oxford/AstraZeneca,4770183
France,2021-05-24,Pfizer/BioNTech,25605796
France,2021-05-25,Johnson&Johnson,219705
France,2021-05-25,Moderna,3151108
France,2021-05-25,Oxford/AstraZeneca,4820624
France,2021-05-25,Pfizer/BioNTech,26105570
France,2021-05-26,Johnson&Johnson,227441
France,2021-05-26,Moderna,3182705
France,2021-05-26,Oxford/AstraZeneca,4876592
France,2021-05-26,Pfizer/BioNTech,26613832
France,2021-05-27,Johnson&Johnson,241801
France,2021-05-27,Moderna,3218531
France,2021-05-27,Oxford/AstraZeneca,4960661
France,2021-05-27,Pfizer/BioNTech,27149809
France,2021-05-28,Johnson&Johnson,268460
France,2021-05-28,Moderna,3263056
France,2021-05-28,Oxford/AstraZeneca,5067207
France,2021-05-28,Pfizer/BioNTech,27662692
France,2021-05-29,Johnson&Johnson,279859
France,2021-05-29,Moderna,3301701
France,2021-05-29,Oxford/AstraZeneca,5130779
France,2021-05-29,Pfizer/BioNTech,27997853
France,2021-05-30,Johnson&Johnson,280835
France,2021-05-30,Moderna,3308166
France,2021-05-30,Oxford/AstraZeneca,5139554
France,2021-05-30,Pfizer/BioNTech,28121425
France,2021-05-31,Johnson&Johnson,293540
France,2021-05-31,Moderna,3355642
France,2021-05-31,Oxford/AstraZeneca,5177928
France,2021-05-31,Pfizer/BioNTech,28585701
France,2021-06-01,Johnson&Johnson,313828
France,2021-06-01,Moderna,3421586
France,2021-06-01,Oxford/AstraZeneca,5246079
France,2021-06-01,Pfizer/BioNTech,29115072
France,2021-06-02,Johnson&Johnson,328374
France,2021-06-02,Moderna,3478518
France,2021-06-02,Oxford/AstraZeneca,5307084
France,2021-06-02,Pfizer/BioNTech,29634069
France,2021-06-03,Johnson&Johnson,347800
France,2021-06-03,Moderna,3553295
France,2021-06-03,Oxford/AstraZeneca,5398069
France,2021-06-03,Pfizer/BioNTech,30173127
France,2021-06-04,Johnson&Johnson,370352
France,2021-06-04,Moderna,3643062
France,2021-06-04,Oxford/AstraZeneca,5507215
France,2021-06-04,Pfizer/BioNTech,30713446
France,2021-06-05,Johnson&Johnson,380094
France,2021-06-05,Moderna,3701731
France,2021-06-05,Oxford/AstraZeneca,5561395
France,2021-06-05,Pfizer/BioNTech,31085128
France,2021-06-06,Johnson&Johnson,381131
France,2021-06-06,Moderna,3712886
France,2021-06-06,Oxford/AstraZeneca,5567295
France,2021-06-06,Pfizer/BioNTech,31249572
France,2021-06-07,Johnson&Johnson,390373
France,2021-06-07,Moderna,3764242
France,2021-06-07,Oxford/AstraZeneca,5599910
France,2021-06-07,Pfizer/BioNTech,31758511
France,2021-06-08,Johnson&Johnson,405011
France,2021-06-08,Moderna,3833676
France,2021-06-08,Oxford/AstraZeneca,5649191
France,2021-06-08,Pfizer/BioNTech,32311336
France,2021-06-09,Johnson&Johnson,417236
France,2021-06-09,Moderna,3888974
France,2021-06-09,Oxford/AstraZeneca,5693348
France,2021-06-09,Pfizer/BioNTech,32861555
France,2021-06-10,Johnson&Johnson,432661
France,2021-06-10,Moderna,3950837
France,2021-06-10,Oxford/AstraZeneca,5763511
France,2021-06-10,Pfizer/BioNTech,33408798
France,2021-06-11,Johnson&Johnson,449688
France,2021-06-11,Moderna,4031468
France,2021-06-11,Oxford/AstraZeneca,5862720
France,2021-06-11,Pfizer/BioNTech,33956996
France,2021-06-12,Johnson&Johnson,457155
France,2021-06-12,Moderna,4081860
France,2021-06-12,Oxford/AstraZeneca,5904712
France,2021-06-12,Pfizer/BioNTech,34352038
France,2021-06-13,Johnson&Johnson,458064
France,2021-06-13,Moderna,4094381
France,2021-06-13,Oxford/AstraZeneca,5908808
France,2021-06-13,Pfizer/BioNTech,34513525
France,2021-06-14,Johnson&Johnson,464735
France,2021-06-14,Moderna,4143933
France,2021-06-14,Oxford/AstraZeneca,5952482
France,2021-06-14,Pfizer/BioNTech,35011487
France,2021-06-15,Johnson&Johnson,475646
France,2021-06-15,Moderna,4205967
France,2021-06-15,Oxford/AstraZeneca,6034472
France,2021-06-15,Pfizer/BioNTech,35551704
France,2021-06-16,Johnson&Johnson,484561
France,2021-06-16,Moderna,4257708
France,2021-06-16,Oxford/AstraZeneca,6101454
France,2021-06-16,Pfizer/BioNTech,36096908
France,2021-06-17,Johnson&Johnson,495489
France,2021-06-17,Moderna,4320623
